,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
range_min_h,0.57,0.57,0.57,0.57,0.57,0.57,0.25,0.44,0.57,0.57,0.85,0.57,0.57,0.57,0.9,0.57,1.2,0.36,0.52,0.57,0.57,0.4,0.43,0.11,0.11,0.1,0.11,0.57,0.09
range_max_h,2.0,2.0,2.0,2.0,2.0,2.0,0.6,1.35,2.0,2.0,2.7,2.0,2.0,2.0,2.1,2.0,2.0,1.0,1.2,2.0,2.0,0.8,0.83,0.51,0.51,0.5,0.51,2.0,0.49
range_min_w,0.63,0.63,0.63,0.63,0.63,0.63,1.69,0.7,0.63,0.63,0.4,0.63,0.63,0.63,0.5,0.63,0.39,1.58,1.1,0.63,0.63,0.8,0.78,2.43,2.39,3.08,2.7,0.63,2.9
range_max_w,1.52,1.52,1.52,1.52,1.52,1.52,4.009,1.76,1.52,1.52,1.1,1.52,1.52,1.52,1.1,1.52,0.79,3.0,1.6,1.52,1.52,2.4,2.38,4.03,3.99,3.48,3.7,1.52,3.9
